"Manager","Copy Music","Copy Videos","Copy Smart Playlists","Copy Album Artwork","Extract DRM-Free Music","Extract DRM-Free Videos","Extract Playcounts","Extract Playlists","Copy Content to iPod"
"Amarok","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","No"
"Banshee","Yes","?","Yes","Yes","Yes","No","Yes","?","No"
"Clementine","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"EphPod","Yes","?","Yes","No","Yes","No","?","?","?"
"gtkpod","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"iRip","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No"
"iTunes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"JRiver Media Center","Yes","?","Yes","Yes","No","Yes","?","?","?"
"MediaMonkey","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes"
"Rhythmbox","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Senuti","Yes","Yes","No","No","Yes","Yes","Yes","?","?"
"Winamp native","Yes","Yes","No","Yes","Yes","Yes","?","Yes","Yes"
"XPlay","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Manager","Copy Music","Copy Videos","Copy Smart Playlists","Copy Album Artwork","Extract DRM-Free Music","Extract DRM-Free Videos","Extract Playcounts","Extract Playlists","Copy Content to iPod"
