"","Integer","Single precision","Double precision","Half and Quadruple precision etc."
"Ada","N/A","","",""
"ALGOL 68","N/A","","etc.","etc. &  etc."
"C (C99)","N/A","","","N/A"
"C++ (STL)","N/A","","",""
"C#","N/A","N/A","(.Net 4.0)",""
"Java","N/A","N/A","N/A",""
"Go","N/A","","",""
"D","N/A","","",""
"Objective-C","N/A","N/A","N/A",""
"Common Lisp","","","",""
"Scheme","","","",""
"Pascal","N/A","N/A","",""
"Visual Basic","N/A","N/A","",""
"Visual Basic .NET","N/A","N/A","(.Net 4.0)",""
"Perl","","","",""
"Perl 6","","","",""
"Python","","","","N/A"
"JavaScript","N/A","N/A","",""
"S-Lang","N/A","N/A","",""
"Fortran","","","",""
"Ruby","","N/A","",""
"Scala","N/A","N/A","N/A",""
"Seed7","N/A","N/A","",""
"Smalltalk","","","",""
"Windows PowerShell","N/A","N/A","",""
"OCaml","N/A","N/A","",""
"F#","","","(.Net 4.0)",""
"Standard ML","N/A","N/A","N/A",""
"Haskell (GHC)","N/A","","",""
"Eiffel","N/A","N/A","N/A",""
"COBOL","N/A","N/A","N/A",""
"Mathematica","","N/A","N/A",""
