"Client","386BSD","BSD/OS (BSD/386, BSDI)","FreeBSD, NetBSD, OpenBSD","SunOS","ULTRIX","AIX","A/UX","HP-UX","IRIX","SCO OpenServer","Solaris","UnixWare","Linux","NeXTSTEP","OpenVMS","OSF/1","QNX","Tru64 UNIX"
"AdiIRC","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"AmIRC","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Bersirc","?","?","?","?","?","?","?","?","?","?","?","?","Yes","?","No","?","?","?"
"BitchX","?","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","?","Yes","Yes","Yes","Yes","?","Yes","Yes","?"
"ChatZilla","No","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes"
"Colloquy","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Convos","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"DMDIrc","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ERC","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"f-irc","?","?","?","?","?","?","?","?","?","?","?","?","Yes","?","?","?","?","?"
"HexChat","?","?","Yes","Yes","?","Yes","?","Yes","Yes","?","Yes","?","Yes","?","?","?","?","Yes"
"HydraIRC","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"IceChat","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No"
"ii (IRC IT)","Yes","Yes","Yes","?","?","?","?","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","Yes","Yes"
"ircII","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","?","Yes","Yes","Yes"
"IRCjr","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Ircle","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Irssi","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"KiwiIRC","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Konversation","?","?","Yes","?","?","?","?","?","?","?","Yes","?","Yes","?","?","?","?","Yes"
"KVIrc","?","?","Yes","?","?","?","?","?","?","?","Yes","?","Yes","?","?","?","?","?"
"LeafChat","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No"
"LeetIRC","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"LimeChat","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Lingo","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Linkinus","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Mibbit","?","?","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","?","?","Yes"
"mIRC","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Neebly","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Nettalk","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Opera","No","No","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No","No","Dropped","No"
"PIRCH","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"PJIRC","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Quassel","?","?","Yes","?","?","?","?","?","?","?","Yes","?","Yes","?","?","?","?","?"
"qwebirc","?","?","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","?","?","Yes"
"rcirc","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Smuxi","?","?","Yes","?","?","?","?","?","?","?","Yes","?","Yes","?","?","?","?","?"
"Snak","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Textual","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Visual IRC","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"WeeChat","?","?","Yes","?","?","?","?","Yes","Partial","?","Yes","?","Yes","?","?","?","Yes","?"
"XChat","?","?","Yes","Yes","?","Yes","?","Yes","Yes","?","Yes","?","Yes","?","?","?","?","Yes"
"Client","386BSD","BSD/OS (BSD/386, BSDI)","FreeBSD, NetBSD, OpenBSD","SunOS","ULTRIX","AIX","A/UX","HP-UX","IRIX","SCO OpenServer","Solaris","UnixWare","Linux","NeXTSTEP","OpenVMS","OSF/1","QNX","Tru64 UNIX"
