"Operator","Languages"
"+","ALGOL 68, BASIC, C++, C#, Cobra, Pascal, Object Pascal, Eiffel, Go, JavaScript, Java, Python, Turing, Ruby, Windows PowerShell, Objective-C, F#, Scala, Ya"
"++","Haskell, Erlang"
"$+","mIRC Scripting Language"
"&","Ada, AppleScript, COBOL (for literals only), Curl, Seed7, VHDL, Visual Basic, Excel, FreeBASIC"
"nconc","Common Lisp"
".","Perl (before version 6), PHP, and Maple (up to version 5), Autohotkey"
"~","Perl 6 and D"
"","Icon, Standard SQL, PL/I, Rexx, and Maple (from version 6)"
"<>","Mathematica"
"..","Lua"
",","J programming language, Smalltalk"
"^","OCaml, Standard ML, F#, rc"
"//","Fortran"
