"Name","OS X","Windows","Cygwin","BSD","Linux","Solaris","Java","OpenVMS","z/OS","AIX","HP-UX","iOS","Android","Maemo","Windows Phone"
"AbsoluteTelnet","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","?"
"ConnectBot","No","No","No","No","No","No","?","?","?","No","No","No","Yes","No","?"
"Dropbear","Yes","No","Yes","Yes","Yes","Yes","?","?","?","Yes","Yes","No","Yes","Yes","?"
"eSSH Client","Yes","Yes","?","Yes","Yes","Yes","?","?","?","No","No","No","No","No","?"
"JuiceSSH","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
"Admin Hands","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
"lsh","Yes","No","No","Partial","Yes","Yes","?","?","?","No","No","No","No","No","?"
"MindTerm","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","No","No","No","?"
"MobaXterm","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"OpenSSH","Included","No","Included","Included","Included","Yes","?","Yes","Yes","Yes","Yes","Yes","No","Yes","?"
"Private Shell","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"PACManager","No","No","No","Partial","Yes","No","No","No","No","No","No","No","No","No","No"
"ProxyCap","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","?"
"PuTTY","Partial","Yes","?","Yes","Yes","?","?","?","?","No","No","No","No","No","Beta"
"Salt","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","?"
"SecureCRT","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","?"
"SmartFTP","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","?"
"SSH Tectia Client/ConnectSecure","No","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","?"
"Tera Term","No","Yes","No","No","No","No","?","?","?","?","No","No","No","No","?"
"TN3270 Plus","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","?"
"Token2Shell","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes"
"TtyEmulator","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","?"
"WinSCP","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","?"
"Xshell","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"ZOC","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","?"
"Penguinet","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","?"
"","","","","","","","","","","","","","","",""
