"Model","Launch","Model Number","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Config core","Fillrate","Fillrate","Memory","Memory","Memory","API compliance (version)","API compliance (version)","Notes"
"Model","Launch","Model Number","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Config core","Pixel (GP/s)","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","DirectX","OpenGL","Notes"
"Mobility Radeon 7000","Feb 2001","M6","RV100","180","AGP 4x","8
16
32","144
167","144
183","0:1:3:1","0.167","0.5","1.464
2.928","SDR
DDR","32
64","6","1.3",""
"Mobility Radeon 7500","Dec 2001","M7","RV200","150","AGP 4x","32
64","280","200","0:2:6:2","0.56","1.68","3.2
6.4","DDR","64
128","7","1.3","PowerPlay II, DX7 T&L"
"Mobility Radeon 9000","Aug 2002","M9","RV250","150","AGP 4x","32
64","250","200","1:4:4:4","1.0","1.0","3.2
6.4","DDR","64
128","8.1","1.4","PowerPlay 3.0, Fullstream"
"Mobility Radeon 9200","Mar 2003","M9+","RV280","150","AGP 8x","32
64","250
250","200
220","1:4:4:4","1.0","1.0","3.2/6.4
3.52/7.04","DDR","64
128","8.1","1.4","PowerPlay 3.0, Fullstream"
"Mobility Radeon 9500","2004?","M11","RV360","130","AGP 8x","64","Unknown","Unknown","2:4:4:4","Unknown","Unknown","Unknown","DDR","64
128","9.0","2.0",""
"Mobility Radeon 9550","2005","M12","RV360","130","AGP 8x","64","210","183","2:4:4:4","0.84","0.84","2.928
5.856","DDR","64
128","9.0","2.0",""
"Mobility Radeon 9600","Mar 2003","M10, M11","RV350","130","AGP 8x","64
128","300","300","2:4:4:4","1.2","1.2","4.8
9.6","DDR","64
128","9.0","2.0",""
"Mobility Radeon 9600 Pro","2004","M10","RV350","130","AGP 8x","128","350","350","2:4:4:4","1.4","1.4","11.2","DDR","128","9.0","2.0",""
"Mobility Radeon 9700","Feb 2004","M11","RV360","130","AGP 8x","128","450","275","2:4:4:4","1.8","1.8","8.8","DDR","128","9.0","2.0",""
"Mobility Radeon 9800","Sep 2004","M18","R420","130","AGP 8x","256","350","300","4:8:8:8","2.8","2.8","19.2","DDR","256","9.0","2.0",""
