"Client","CTCP","DCC","IPv6","SSL","TLS","DANE","OCSP","CRL","SASL","OTR"
"AdiIRC","Yes","Yes","Yes","Yes","?","?","?","?","script","No"
"AmIRC","Yes","Yes","No","No","No","?","No","No","?","No"
"Bersirc","?","Partial","No","No","?","?","?","?","?","No"
"BitchX","Yes","Yes","Yes","Yes","Yes","?","?","?","?","No"
"ChatZilla","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","script","No"
"Colloquy","Yes","Yes","Yes","Yes","?","?","?","?","Yes","No"
"Convos","?","?","?","?","?","?","?","?","?","?"
"DMDirc","Yes","Yes","Yes","Yes","?","?","?","?","?","No"
"ERC","Partial","Yes","Yes","Yes","Yes","?","?","?","Yes","No"
"f-irc","Yes","Yes","Yes","?","?","?","?","?","?","No"
"HexChat","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes"
"HydraIRC","Yes","Yes","?","No","No","?","No","No","?","No"
"IceChat","Yes","Yes","Yes","Yes","?","?","?","?","Yes","No"
"ii (IRC IT)","?","No","Yes","Yes","Yes","?","?","?","?","No"
"ircII","Yes","Yes","Yes","No","?","?","?","?","?","No"
"IRCjr","Yes","No","No","No","No","?","No","No","No","No"
"Ircle","Yes","Yes","?","Yes","?","?","?","?","?","No"
"Irssi","Yes","Yes","Yes","Yes","Yes","Yes","No","?","script","Yes"
"jIRCii","Yes","Yes","Yes","Yes","?","?","?","?","?","No"
"KiwiIRC","Yes","No","Yes","Yes","No","?","No","No","No","No"
"Konversation","Yes","Yes","Yes","Yes","Yes","?","?","?","Yes","No"
"KVIrc","Yes","Yes","Yes","Yes","Yes","?","No","No","Yes","No"
"LeetIRC","No","Partial","No","No","No","?","No","No","?","No"
"LimeChat","?","Yes","Yes","Yes","?","?","?","?","Yes","No"
"Lingo","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","No"
"Linkinus","Yes","Yes","No","Yes","?","?","?","?","No","No"
"Mibbit","?","Partial","No","Yes","?","?","?","?","Yes","No"
"mIRC","Yes","Yes","Yes","Yes","?","?","?","?","script","No"
"Neebly","Yes","Yes","No","No","?","?","?","?","?","No"
"Nettalk","Yes","Yes","No","No","?","?","?","?","?","No"
"Opera","Yes","Yes","Yes","Yes","Yes","?","?","?","?","No"
"PIRCH","Yes","Yes","No","No","?","?","?","?","?","No"
"PJIRC","?","Yes","No","No","?","?","?","?","?","No"
"Quassel","Yes","No","Yes","Yes","Yes","?","No","No","Yes","No"
"qwebirc","Yes","No","No","Yes","No","?","No","No","No","No"
"rcirc","Partial","No","No","Yes","Yes","?","?","?","?","No"
"Scrollback","Partial","No","Yes","Yes","?","?","?","?","No","No"
"Smuxi","Yes","No","Yes","Yes","?","?","?","?","No","No"
"Snak","Yes","Yes","Yes","Yes","?","?","?","?","?","No"
"Textual","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes"
"Visual IRC","Yes","Yes","No","No","?","?","?","?","?","No"
"WeeChat","Yes","Yes","Yes","Yes","Yes","?","?","?","Yes","Yes"
"XChat","Yes","Yes","Partial","Yes","?","No","?","?","script","Yes"
"Client","CTCP","DCC","IPv6","SSL","TLS","DANE","OCSP","CRL","SASL","OTR"
