"","HTML5 standard","HTML web browser features","Adobe Flash features"
"Date started","Work began in 2003 
 Working Draft as of 2011","N/A","Work began in 1996 
 Version 1 released in 1997"
"Desktop operating systems","N/A","AmigaOS, MorphOS, Microsoft Windows, Apple Mac OS X, Linux","Microsoft Windows, Apple Mac OS X, 
 Linux (PPAPI-only after 11.2), Solaris"
"Mobile operating systems","N/A","Windows Phone 8+, Android 2.3+, Apple iOS 6+, Symbian Belle+, BlackBerry OS 7+","Up to Android 4.0 (unofficially for Android 4.1 and above), BlackBerry PlayBook, BlackBerry 10 v10.0 - 10.3.0 (10.3.1 unofficially supported), Windows RT"
"Video game console","PlayStation Vita","Xbox 360, Sony PlayStation 3, Nintendo Wii","Sony PlayStation 3 (Flash 9 only), Nintendo Wii (Flash Lite only)"
"Device support","N/A","Limited access to web camera, microphone, accelerometer, GPS","Full access to web camera, microphone, accelerometer, GPS"
"Market penetration","N/A","~96% of internet connected PCs are CSS 2/3 ACID compliant,
 ~99% support JavaScript 1.5 or above, ~91% of devices support basic SVG","~95% of internet connected PCs
(~83% have Flash Player 11, ~17% have 10 and below)"
"Vector graphics formats","N/A","Scalable Vector Graphics (SVG) supported on ~91% of browsers","SWF with embedded graphics"
"Bitmap effects","Yes","Varying support of Filters in CSS3 (e.g. Glow, Blur, Drop Shadow, Sepia)","Yes, applied to text or graphics (e.g. Glow, Drop Shadow, Bevel)"
"Vector text display","Yes","Yes","Yes, with Saffron Type System"
"Font support","N/A","Installed fonts and custom fonts using CSS 3 web fonts","Installed fonts and embedded fonts"
"Text anti-aliasing","N/A","Yes, implemented in most browsers, for system and custom fonts",""
"Text tab stop","No","Only supported inside ""pre"" tags","Yes, with Text Layout Framework"
"Liquid text layout","Yes","Yes, using the ""div"" tag and CSS styling","No, but text fields can be resized in ActionScript"
"Tabular data","Yes","Yes, using the ""table"" tag","No, but text fields can be arranged into a grid"
"Linked text frames","No","No","Yes, with Text Layout Framework"
"Programming languages","Depends","JavaScript","ActionScript, Pixel Bender"
"C++ support","Cross-compiling of C++ code to JavaScript using Emscripten","Native code execution with Google Native Client in Google Chrome only","Cross-compiling of C++ code to run in Flash Player using FlasCC"
"Source code format","Plaintext","Plaintext JavaScript with limited obfuscation","Compiled bytecode, can be obfuscated"
"Data formats","Depends","CSS 3, HTML, XML, JSON","JSON, XML, Subset of CSS 1"
"Data compression","No","GZIP compression for HTML, JS and CSS files (on supported servers)","LZMA or DEFLATE for SWF files"
"Image formats","Depends","PNG, JPEG, Animated GIF","PNG, JPEG, JPEG-XR, Single-frame GIF"
"Video formats","Depends","Varying support of H.264, WebM and Ogg Theora (see HTML5 video)","H.264, Sorenson Spark, and On2 VP6"
"Streaming video","No","Pseudo-streaming only of WebM and Ogg Theora using video tag","Flash Video, H.264 and partial support for MP4"
"Audio formats","Depends","Varying support of MP3, Ogg Vorbis, WAV PCM, AAC and  WebM Vorbis (see HTML5 audio)","MP3, WAV and AAC audio files or embedded sound"
"Fullscreen support","No","Supported on some browsers","Yes, with warning displayed"
"Encryption DRM","With obfuscation","No, all files being plaintext, except for obfuscation","No, binary formatted files can be decompiled, this is merely obfuscation"
"File system access","No","Varying support of single file upload, and drag and drop of files onto browser","Support for single file upload and generation,
 AIR only: full create/read/write access to file system"
"Bitmap manipulation","No","Varying support for HTML5 ""canvas"" element","Yes, using the BitmapData class"
"Binary manipulation","No","No, unless JavaScript Arrays are used for the same","Yes, using the ByteArray class"
"Large binary data","No","Using Web Sockets to stream binary or XML data","Yes, embedded or streaming binary data"
"Offline storage","Depends","Using Web storage or HTTP cookie to store binary or XML data","Using Local Shared Object to store AMF-formatted data"
"Metadata","Meta tag","Can be included in meta tag","Extensible Metadata Platform"
