"Ad Servering Platform","Company-owner","First release date","Pricing","Mobile solution","Ad exchange","Demo","Service and Support","Real-time","Trial period"
"MADGIC","Madgic","2011","Available upon request or real time reporting API","Yes","Yes, 24/7 Connect with 50+ adnetworks","Yes, upon request","24/7 support via email, skype, phone, ...","Yes","Yes"
"Revive Adserver","Revive Adserver Project","2013, 2003 as OpenX Source","Free, Open Source","Yes","Yes, via plugin","Yes, Installatron","Project support, forum, etc. Hosting, training and consulting services available","",""
"AdExchange","AudienceLogy LLC","2013","Available upon Request","Yes","Yes","Yes, upon request.","Phone, email, ticket system, training and consulting services available","Yes","No"
"Adform","Adform ApS","2003","Available upon Request","Yes","Yes","Yes, upon request.","Phone, email, ticket system, training and consulting services available","Yes","No"
"AdSparx","AdSparx USA Inc.","2012","Available upon request","Yes","Yes","Yes, upon request","Phone, email, ticket system","Yes","Yes"
"24/7 Open AdStream - Renamed XFP","AppNexus","1997","Available upon request","Yes","Yes, 24/7 Connect in exclusive partnership with Microsoft Ad Exchange","Yes, upon request","Phone, email, ticket system and dedicated local account manager in local languages. Local Professional Services","Yes","No"
"Viewzd","Hardsk","2013","Viewzd Plans","Yes","NO","Yes","24/7 email","Yes","Yes"
"AdButler","Sparklit","1999","AdButler Plans","Yes","NO","YES","Dedicated manager, Email, Phone","Yes","Yes"
"AdGear Advertiser Ad Server","AdGear","2009","Available upon request","Yes","Yes","Yes, Upon Request","24/7 email and telephone","Yes","No"
"DoubleClick Small Business","Google Inc., since 2008","n/a","Free up to 150 million impps per month","Yes","Yes, Doubleclick Ad Exchange","No","E-mail, phone, ticket system","Yes","-"
"DoubleClick Premium Solution","Google Inc., since 2008","n/a","Available upon request","Yes","Yes, Doubleclick Ad Exchange","No","Dedicated manager, 24/7/365 support","Yes","No"
"Zedo","Zedo Inc.","2000","One time set-up fee + monthly fee based on volume (available upon request)","Yes","Yes","No","24/7 support through phone, email or chat","Yes","No"
"Right Media (Yield Manager)","Yahoo","2005","Available upon request","Yes","Yes, Right Media Exchange","No","Email and phone support","Yes","No"
"ADTECH","ADTECH AG, subsidiary of AOL Networks.","1998. 2007 - AOL acquires ADTECH","Available upon request, special pricing, also there are ADTECH lite (version for small publishers) free.","Yes","Yes, Marketplace by ADTECH","Yes, Upon Request","24/7 email and phone support","Yes","No"
"Ad Server Solutions Adserver","Ad Server Solutions","1997","Licensed, Source codes and SaaS. White Label and Private Branding. Available upon request","Yes","Yes, Partnerships / Investments","Yes","24/7 email and phone support","Yes","No"
"Adzerk","Adzerk Inc.","2009","Online pricing tool - Varies upon impression volume.","Yes","Yes, non-exclusive","Yes, upon request","Phone, email, dedicated account manager, professional services","Yes","Yes"
"Cxense","Cxense.","2001. 2013 - Cxense acquires Emediate","Available upon request","Yes","Yes, Emediate Exchange","Yes","Email and phone support","Yes","Yes"
"epom","Epom","2010","Pricing table. Details available upon request.","Yes","Yes","Yes, upon request","24/7 email and phone support","Yes","Yes"
"Mirago M3","Mirago Ltd.","2001","Available upon request","Yes","Yes, Mirago Ad Exchange","Yes, upon request","Dedicated Account Manager, phone, email, ticket system, Skype","Yes","No"
"Djax Adserver","dJAX Adserver Technology Solutions.","2009","Available upon request","Yes","Yes Open RTB 2.0","Yes, upon request","Email and phone support","Yes","Demo Only"
"Orbit Ad Server","OrbitSoft","2008","Available upon request","Yes","Yes","Yes, upon request","Dedicated Account Manager, phone, email, Skype","Yes","No"
"AdMediaWorks","AdServer","2014","On Website","No","Yes","Yes, upon request","Dedicated Account Manager, phone, email, Skype","Yes","No"
