"Name","RAID","quota","Resource access control","encryption","other special file system features"
"Linux","Yes","Yes","Unix, ACL, MAC","Yes","LVM, EVMS"
"FreeBSD","Yes","Yes","Unix, ACL, MAC","Yes","GEOM, snapshots, background fsck, user-mountable file systems"
"OpenBSD","Yes","Yes","Unix","Yes",""
"NetBSD","Yes","Yes","Unix, Veriexec","Yes",""
"DragonFly BSD","Yes","Yes","Unix","Yes","HAMMER, Snapshots, Checksumming, Deduplication"
"OpenSolaris","Yes","Yes","Unix, ACL, MAC","Yes","Solaris Volume Manager, ZFS, snapshots, transparent data repair"
"AuroraUX","Yes","Yes","Unix, ACL, MAC","","Solaris Volume Manager, ZFS, snapshots, transparent data repair"
"Darwin, OpenDarwin","","Yes","Unix, ACL","Yes",""
"MINIX","","","Unix","",""
"FreeDOS","","","No","",""
"KolibriOS","","","No","",""
"MenuetOS","","","No","",""
"GNU","","","Unix","",""
"ReactOS","","","No","",""
"L4, Fiasco, Pistachio","","","","",""
"Plan 9","No","No","Unix-like, no root","No","snapshots, venti archival storage, per-process namespace, user-mountable file systems"
"AROS","","","","",""
"Syllable","","","Unix","","64-bit, journaling, extended file attributes"
"Inferno","No","No","Unix-like, no root","No","per-process namespace, user-mountable file systems"
"FreeRTOS","","","","",""
"eCos","","","","",""
"RTEMS","","","","",""
"HelenOS","No","No","No","No","No"
"E/OS","Yes","Yes","Unix","Yes","No"
"Name","RAID","quota","Resource access control","encryption","other special file system features"
