"","Directives","Conditionals","Atomic groups","Named capture","Comments","Embedded code","Unicode property support","Balancing groups","Variable-length look-behinds"
"Boost.Regex","Yes","Yes","Yes","Yes","Yes","No","Some","No","No"
"Boost.Xpressive","Yes","No","Yes","Yes","Yes","No","No","No","No"
"CL-PPCRE","Yes","Yes","Yes","Yes","Yes","Yes","Some","No","No"
"EmEditor","Yes","Yes","?","?","Yes","No","?","No","No"
"FREJ","No","No","Yes","Yes","Yes","No","?","No","No"
"GLib/GRegex","Yes","Yes","Yes","Yes","Yes","No","Some","No","No"
"GNU grep","Yes","Yes","?","Yes","Yes","No","No","No","No"
"Haskell","?","?","?","?","?","No","No","No","No"
"ICU Regex","Yes","No","Yes","No","Yes","No","Yes","No","No"
"Java","Yes","No","Yes","Yes","Yes","No","Some","No","No"
"JavaScript (ECMAScript)","No","No","No","No","No","No","No","No","No"
"JGsoft","Yes","Yes","Yes","Yes","Yes","No","Some","No","Yes"
"Lua","No","No","No","No","No","No","No","No","No"
".NET","Yes","Yes","Yes","Yes","Yes","No","Some","Yes","Yes"
"OCaml","No","No","No","No","No","No","No","No","No"
"OmniOutliner 3.6.2","?","?","?","?","No","No","?","No","No"
"PCRE","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"Perl","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"PHP","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Python","Yes","Yes","No","Yes","Yes","No","No","No","No"
"Qt/QRegExp","No","No","No","No","No","No","No","No","No"
"RE2","Yes","No","?","Yes","No","No","Some","No","No"
"Ruby","Yes","No","Yes","Yes","Yes","Yes","Some","No","No"
"Tcl","Yes","No","Yes","No","Yes","No","Yes","No","No"
"TRE","Yes","No","No","No","Yes","No","?","No","No"
"Vim","Yes","No","Yes","No","No","No","No","No","Yes"
"RGX","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No"
"XRegExp","Leading only","No","No","Yes","Yes","No","Yes","No","No"
