"Audio player","Lossy compression","Lossy compression","Lossy compression","Lossy compression","Lossy compression","Lossy compression","Lossy compression","Lossy compression","Lossy compression","Lossless compression","Lossless compression","Lossless compression","Lossless compression","Lossless compression","Lossless compression"
"Audio player","MP3","WMA","RealAudio","Vorbis","Musepack","AAC","Dolby AC-3","VQF","Opus","APE","FLAC","ALAC","SHN","WV","WMA L"
"AIMP","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"Amarok","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"Audacious","Yes","Yes","No","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes","No","Yes","?"
"Audion","Yes","No","No","Yes","No","No","No","?","?","No","No","No","No","No","?"
"Clementine","Yes","Yes","?","Yes","?","Yes","?","?","?","No","Yes","Yes","?","?","?"
"cmus","Yes","Yes","No","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Cog","Yes","No","No","Yes","Yes","Yes","No","?","?","Yes","Yes","Yes","Yes","Yes","?"
"Exaile","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes","Yes","Yes","?"
"foobar2000","Yes","Yes","No","Yes","Yes","Yes","Partial","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"JuK","Yes","No","No","Yes","Yes","No","No","?","?","Yes","Yes","No","Yes","No","?"
"Media Jukebox","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes","Yes","Yes","?"
"MediaMonkey","Yes","Yes","No","Yes","Yes","Partial","Partial","?","?","Yes","Yes","Yes","Partial","Partial","?"
"MPXPLAY","Yes","Yes","No","Yes","Yes","Yes","Yes","?","?","Yes","Yes","No","No","Yes","?"
"Music Player Daemon","Yes","Yes","Partial","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"MusicBee","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Musicmatch Jukebox","Yes","Yes","No","No","No","No","No","?","?","No","No","No","No","No","?"
"musikCube","Yes","Partial","No","Yes","Partial","Partial","Partial","?","?","Yes","Yes","No","No","Partial","?"
"Quod Libet","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Rhapsody","Yes","Yes","Yes","No","No","Yes","No","?","?","No","No","No","No","No","?"
"Rhythmbox","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes","Yes","Yes","?"
"Sonique","Yes","Yes","No","Yes","Partial","Partial","No","?","?","No","No","No","No","No","?"
"Style Jukebox","Yes","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No","Yes"
"XMMS","Yes","Partial","Partial","Partial","Yes","Yes","No","Yes","?","Partial","Yes","No","Partial","Yes","?"
"XMPlay","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Zinf","Yes","No","No","Yes","No","No","No","?","?","No","No","No","No","No","?"
"Audio player","MP3","WMA","RealAudio","Vorbis","Musepack","AAC","Dolby AC-3","VQF","Opus","APE","FLAC","ALAC","SHN","WV","WMA L"
