"Manager","iPod touch / iPhone Firmware up to 1.1.4","iPod touch / iPhone FW 2.x","iPod touch / iPhone FW 3.0","iPod touch / iPhone FW 3.1","iPod touch / iPhone FW 4.0.2","iPod touch / iPhone FW 5.0.x"
"Amarok","Yes","No","Yes","Yes","Yes, Read-only","Yes, Read-only"
"Banshee","Yes","Yes","Yes","Yes","Yes, Read-only","Yes, Read-only"
"Clementine","Yes, limited","Yes, limited","Yes, limited","Yes, limited","No","No"
"EphPod","No","No","No","No","No","No"
"gtkpod","Yes","Yes","Yes","Yes","?","?"
"iRip","Yes","Yes","Yes","Yes","Yes","Yes, Read-only"
"iTunes","Yes","Yes","Yes","Yes","Yes","Yes"
"JRiver Media Center","No","No","No","No","No","No"
"MediaMonkey","Yes","Yes","Yes","Yes","Yes","Yes"
"Rhythmbox","Yes","Yes","Yes","Yes","Yes","No"
"Senuti","Yes","Yes","No","No","No","?"
"Winamp native","No","No","No","No","No","No"
"XPlay","Yes","Yes, Read only","Yes, Read only","Yes, Read only","Yes, Read only","Yes, Read only"
"Manager","iPod touch / iPhone Firmware up to 1.1.4","iPod touch / iPhone FW 2.x","iPod touch / iPhone FW 3.0","iPod touch / iPhone FW 3.1","iPod touch / iPhone FW 4.0.2","iPod touch / iPhone FW 5.0.x"
