"Attribute","Deprecated for","Function","Supported first by","Trident","Gecko","WebKit","KHTML","Presto"
"bgproperties","body","Determines whether background image scrolls with the background","Internet Explorer","3.1","No","Yes","Yes","No"
"bordercolor","body","Sets colors for 3-D table borders in the table, td, th, and tr elements","Internet Explorer","3.1","No","Yes","Yes","No"
"bordercolordark","body","Sets colors for 3-D table borders in the table, td, th, and tr elements","Internet Explorer","3.1","No","No","No","No"
"bordercolorlight","body","Sets colors for 3-D table borders in the table, td, th, and tr elements","Internet Explorer","3.1","","","",""
"controls","img","Uses the img element to place video or audio clips","Internet Explorer","3.1","No","No","No","No"
"dynsrc","img","Uses the img element to place video or audio clips","Internet Explorer","3.1","No","No","No","No"
"event","script","Defines function to call for an object.","Internet Explorer","3.1","Partial","?","?","?"
"for","script","Defines the object to bind a scripting event.","Internet Explorer","3.1","Partial","?","?","?"
"frame","table","Controls the display of the outer borders of a table in the table tag","Internet Explorer","3.1","Yes","?","Yes","No"
"framespacing","frameset","Sets the amount of space between frames","Internet Explorer","3.1","?","?","No","No"
"leftmargin","body","Sets the margin between the browser window and the contents of the page","Internet Explorer","3.1","?","?","Yes","No"
"loop","img","Uses the img element to place video or audio clips","Internet Explorer","3.1","No","No","No","No"
"rightmargin","body","Sets the margin between the browser window and the contents of the page","Internet Explorer","3.1","?","?","No","No"
"start","img","Uses the img element to place video or audio clips","Internet Explorer","3.1","No","No","No","No"
"target","form","Specifies a target window or frame for the output of a form","Internet Explorer","3.1","No","?","Yes","No"
"valign","caption","Sets vertical alignment of table caption","Internet Explorer","3.1","?","?","No","No"
