"Language","Official website","Software license","Remarks"
".NET","MSDN","style=""background: #9FF; color: black; vertical-align: middle; text-align: center; "" class=""free table-free""|dotnet_license",""
"C++11 (C++)","C++ standards website","?","Since ISO14822:2011(e)"
"D","D","style=""background: #9FF; color: black; vertical-align: middle; text-align: center; "" class=""free table-free""|boost_mars",""
"Go","Golang.org","BSD-style",""
"Haskell","Haskell.org","BSD3","Omitted in the language report, and in GHC's Hierarchical Libraries"
"Java","Java","GNU General Public License","REs are written as strings in source code: all backslashes must be doubled, harming readability."
"JavaScript (ECMAScript)","ECMA-262","BSD3","Limited but REs are first-class citizens of the language with a specific /.../mod syntax."
"Julia","JuliaLang.org","MIT License","REs are part of the language core library using PCRE built-in and an optional wrapper for (C code) ICU is available."
"Lua","Lua.org","MIT License","Uses simplified, limited dialect; can be bound to more powerful library, like PCRE or an alternative parser like LPeg."
"Mathematica","Wolfram","Proprietary",""
"Free Pascal (Object Pascal)","www.freepascal.org","LGPL with static linking exception","Free Pascal 2.6+ ships with TRegExpr from Sorokin and two other regular expression libraries; See wiki.lazarus.freepascal.org/Regexpr."
"Cocoa (Objective-C)","Apple","Proprietary","As of 2012, available on only iOS 4+ and OS X 10.7+"
"OCaml","Caml","LGPL",""
"Perl","Perl.com","Artistic License, or GNU General Public License","Full, central part of the language"
"PHP","PHP.net","PHP License","Has two implementations, with PCRE being the more efficient in speed, functions"
"Python","python.org","Python Software Foundation License",""
"Ruby","ruby-doc.org","GNU Library General Public License","Ruby 1.8 and 1.9 use different engines; 1.9 integrates Oniguruma."
"SAP ABAP","SAP.com","Proprietary",""
"Tcl","tcl.tk","Tcl/Tk License
(BSD-style)","Tcl library doubles as a regular expression library."
"ActionScript 3","ActionScript Technology Center","Free",""
