"","possibility of extended customization","generated diagrams","highlighting and linking of generated doc","parameter types extracted"
"ApiGen","Customizable Latte-based templates","","cross reference to generated documentation, and to php.net function reference","Yes"
"Autoduck","","","",""
"BI Documenter","","","",""
"classdoc","","","",""
"CppDoc","","","",""
"DB Manual","","","",""
"DBDesc","full customization for all output formats using XSL templates and a built-in designer","","All SQL code syntax highlighted","Yes"
"DBScribe","","","",""
"Ddoc","with macros","","",""
"devscribe","Via code, XSLT, CSS and web.config","","Looks and reads just like code with syntax coloring in Visual Studio style.","Supports linking from all member and method parameter types."
"Doc-O-Matic","full customization for all output formats, template for MSDN and other lookalike output, custom XMLDoc/JavaDoc tags","local, module and global graphical class hierarchies, local text class hierarchies","fully cross-linked project-wide, automatic inter-project links, automatic links into framework documentation like MSDN, Borland/CodeGear Help","types extracted and linked"
"DOC++","","","",""
"Document! X","customizable HTML based templates, custom comment tags","linked graphical object relationship diagrams","internal links and links to .NET framework documentation","types extracted and linked"
"Doxygen","with XSLT","caller and callee graphs, dependency graphs, inheritance diagrams, collaboration diagrams","",""
"Epydoc","","","",""
"ForgeDoc","","","internal links and links to .NET framework documentation","types extracted and linked"
"Haddock","","","Yes","Yes"
"HeaderDoc","Custom headers, footers, code coloring, and other CSS styles in individual pages.  Project-wide TOC is generated from a user-defined template.","","Configurable syntax highlighting/coloring with automatic linking to symbols in declaration, ability to manually link to symbols in discussion, etc.","Provides warnings if tagged parameters do not match code, parsed parameters included in XML output and Doxygen-style tagfile (-D flag in 8.7).  Partial C preprocessor support with -p flag.  Support for #if/#ifdef control over documentation inclusion using the -D and -U command-line flags."
"Help Generator","","","",""
"HyperSQL","custom CSS, options via configuration file, optional central to do/bug lists (items extracted from javadoc comments)","Pie Charts for code statistics, object relationship diagrams (dependency graphs)","fully cross-linked project-wide for views, packages, package functions, and package procedures; optional inclusion of source code with syntax highlighting; links to javadoc generated references as well as directly to the code lines; code statistics","Provides warnings if tagged parameters count does not match code"
"IDLdoc","customizable through user-defined templates and stylesheets","","Yes","Yes"
"Imagix 4D","customizable through style sheets and CSS","linked hierarchy and dependency graphs for function calls, variable sets and reads, class inheritance and interface, and file includes and interface, intra-function flow charts","fully cross-linked project-wide, including all hierarchy and dependency graphs, metrics tables, source code snippets, and source files","full semantic analysis of source code, including parameter types, conditional compilation directives, macro expansions"
"Javadoc","","","",""
"jGrouseDoc","With XSLT","","cross reference to generated documentation","Yes"
"JSDoc","","","","Yes"
"JsDoc Toolkit","","","","Yes"
"KDOC","","","",""
"mkd","Customisable for all type of comments","'as-is' in comments","all general documentation; references, manual, organigrams, ... Including the binary codes included in the comments.","all coded comments"
"Natural Docs","","","",""
"NDoc","","","",""
"perldoc","Extend the generator classes through Perl programming.","","Only linking",""
"phpDocumentor","Smarty-based templates","class inheritance diagrams","cross reference to generated documentation, and to php.net function reference","Yes"
"phpSimpleDoc","","class / interface inheritance","Yes","Yes"
"Project Analyzer","custom CSS","File dependencies, inheritance, control flow, data flow, variable access, class instantiation, data

declaration, Form.Show order, procedure calls, project dependencies, file belongs to project, class cohesion.","Cross-referenced source code","types extracted and linked, source code level linkage"
"RDoc","","","",""
"ROBODoc","","","",""
"Sphinx","10 themes; Jinja2 templating; Python plugins","several in sphinx-contrib, e.g. using aafigure, actdiag, Google Chart, or gnuplot","Table of Contents, Index; cross referencing; syntax highlighting with Pygments","custom objects (such as functions and classes)"
"TwinText","20 CSS styles. Well documented CSS facilitates customization.","ASCII diagramming and picture importing.","Table of Contents, Index, and per-page cross referencing.","Method/Function parameters extracted and linked."
"Universal Report","customizable HTML based templates, custom comment tags","linked graphical object relationship diagrams","internal links between routines and objects","data types extracted and linked"
"VBDOX","","","",""
"VBSdoc","","","",""
"VSdocman","full customization for all output formats, templates for MSDN-like output, custom XML comment tags","linked graphical class diagrams, class inheritance tree","internal links and links to .NET framework documentation","types extracted and linked"
"YARD","customizable Ruby templates","class diagrams with extra tool","internal classes/modules cross-referenced and Ruby source highlighted",""
"","possibility of extended customization","generated diagrams","highlighting and linking of generated doc","parameter types extracted"
