"","Trident","Gecko","WebKit","Presto","Blink"
"Called as function","Called as function","Called as function","Called as function","Called as function","Called as function"
"String([value])","Yes","Yes","Yes","Yes","Yes"
"Called as constructor","Called as constructor","Called as constructor","Called as constructor","Called as constructor","Called as constructor"
"new String([value])","3.0","1.0","Yes","1.0","Yes"
"Properties","Properties","Properties","Properties","Properties","Properties"
"prototype","4.0","1.0","Yes","1.0","Yes"
"fromCharCode([char0 [, char1 [, ...]]])","4.0","1.0","Yes","1.0","Yes"
"Properties of prototype","Properties of prototype","Properties of prototype","Properties of prototype","Properties of prototype","Properties of prototype"
"constructor","4.0","1.0","Yes","1.0","Yes"
"toString()","3.0","1.0","Yes","1.0","Yes"
"valueOf()","3.0","1.0","Yes","1.0","Yes"
"charAt(pos)","3.0","1.0","Yes","1.0","Yes"
"charCodeAt(pos)","5.5","1.0","Yes","1.0","Yes"
"concat([string1 [, string2 [, ...]]])","4.0","1.0","Yes","1.0","Yes"
"indexOf(searchString, position)","3.0","1.0","Yes","1.0","Yes"
"lastIndexOf(searchString, position)","3.0","1.0","Yes","1.0","Yes"
"localeCompare(that)","5.5","1.0","Yes","1.0","Yes"
"match(regexp)","4.0","1.0","Yes","1.0","Yes"
"replace(searchValue, replaceValue)","3.0","1.0","Yes","1.0","Yes"
"search(regexp)","4.0","1.0","Yes","1.0","Yes"
"slice(start, end)","4.0","1.0","Yes","1.0","Yes"
"split(separator, limit)","4.0","1.0","Yes","1.0","Yes"
"substring(start, end)","3.0","1.0","Yes","1.0","Yes"
"toLowerCase()","3.0","1.0","Yes","1.0","Yes"
"toLocaleLowerCase(comparefn)","3.0","1.0","Yes","1.0","Yes"
"toUpperCase()","3.0","1.0","Yes","1.0","Yes"
"toLocaleUpperCase()","3.0","1.0","Yes","1.0","Yes"
"Additional properties of prototype","Additional properties of prototype","Additional properties of prototype","Additional properties of prototype","Additional properties of prototype","Additional properties of prototype"
"substr(start, length)","4.0","1.0","Yes","1.0","Yes"
"Properties of instances","Properties of instances","Properties of instances","Properties of instances","Properties of instances","Properties of instances"
"length","3.0","1.0","Yes","1.0","Yes"
