"Research Networking Tool","Interoperability with Institutional Enterprise Systems","Interoperability with External Systems","Integration with Add-on Components or Products","Regional, National, International or Federated Connectivity?"
"Academic Room","No","unknown","unknown","The system is voluntary, so national and international by active inclusion"
"Activity Insight","Yes (Banner, Datatel, PeopleSoft, CampusVue, Jenzabar, etc.)","Yes (Google Scholar, Scopus, Web of Science, RefWorks, etc.)","Yes (EndNote, Mendeley, Zotero, tools which generate BiBTeX, CSV or XML files)","No"
"C-IKNOW","No","Yes(is possible)","Unknown","No"
"Collaborative Partnership / Profile System","Yes","Yes (has API—works with SciVal Experts)","Unknown","Yes Currently only in Texas"
"Community Academic Profiles - CAP","Yes","Yes","Yes","No"
"Converis","Yes (Bisynchronous and one way operations with institution's enterprise system both possible.)","Yes (Yes, Web of Science, ORCID, pubmed, europubmed.)","Yes (Integrates with Pentaho Research Analytics module and InCites)","No"
"Curvita Profile Manager","Yes","Yes","Unknown","No"
"CUSP - Columbia University Scientific Profiles","No","Yes PubMed only","Unknown","No"
"Digital Vita","No","Yes (only PubMed)","Unknown","Yes National federated connectivity through DIRECT2Experts"
"Elsevier's Pure (now integrated with SciVal Experts)","Yes institutions have access to Web Services in order to feed data into internal databases; Web Services can be consumed as directed by institution. Pure currently ingests a range of data from institutions' own systems, including grants data, HR data, institutional repositories, publication databases, book listings and more.","Yes Scopus, PubMed, NIH RePORTER, SciVal Funding, Embase, Mendeley, arXiv, Worldcat, CrossRef, JournalTOC, CAB Abstracts, SAO/NSA Astrophysics Data System, institution's internal databases, including HR data, grants, publications, patents, etc.","Yes the Funding Discovery module within Pure integrates with SciVal Funding, automatically recommending funding opportunities and suggested collaborators to profiled researchers with no manual effort. Pure also integrates with SciVal to allow easy analysis of your researcher impact with the benchmark capabilities of SciVal.","Yes the Pure Experts Community interconnects all participating Pure Experts Portal applications internationally into a single search (participation is voluntary); Additional functionality enables users to search across different institutions participating in DIRECT2experts network (including VIVO instances, Harvard Profiles, Stanford CAP, etc.). Institutions can participate in VIVO through Pure"
"Elsevier's SciVal","Yes (Institutions have access to the API with Scopus data in order to feed data into internal databases.)","Yes (Integrates with Pure.)","Yes (Scopus & ScienceDirect)","No"
"Epernicus Solutions & Epernicus Network","Yes (Possible, for Epernicus Solutions)","No","Unknown","No"
"ERIM Member Profile System (ERIM MIS)","Yes","Yes ID resolver included, so links to external systems are created, like SSRN, ResearcherID, Google scholar alerts & Search, social mention search from personal page, MEEBO sharing possible, Tynt statistics included","Unknown","No"
"EUREKA! Enhancing Student Research","No","No","Unknown","No"
"Expertise @ Maryland","May be possible","No","Unknown","No"
"Faculty Profile System","No","No","Unknown","No"
"Faculty Research Information Profile (FRIP)","Discontinued. Work on this system ceased; moved on to developing Digital Vita","N/A","N/A","N/A"
