"Name","Website","Parsing algorithm","Output languages","Grammar, code","Development platform","License"
"Arpeggio","","PEG parser interpreter, Packrat","Python","mixed","all","MIT"
"AustenX","","Packrat (modified)","Java","separate","all","BSD"
"Aurochs","","Packrat","C, OCaml, Java","mixed","all","GNU GPL"
"CL-peg","","Packrat","Common Lisp","mixed","all","MIT"
"Drat!","","Packrat","D","mixed","all","GNU GPL"
"Frisby","","Packrat","Haskell","mixed","all","BSD"
"grammar::peg","","Packrat","Tcl","mixed","all","BSD"
"Grako","","Packrat + Cut + Left Recursion","Python / C++ (beta)","separate","all","BSD"
"IronMeta","","Packrat","C#","mixed","Microsoft Windows","BSD"
"Katahdin","","Packrat (modified), mutating interpreter","C#","mixed","all","Public domain"
"Laja","","2-phase scannerless top-down backtracking + runtime support","Java","separate","all","GNU GPL"
"lars::parser","","Packrat (modified to support left-recursion and resolve grammar ambiguity)","C++","identical","all","GNU GPL, commercial license available on request"
"LPeg","","Parsing Machine","Lua","mixed","all","MIT"
"Mouse","","Recursive descent","Java","separate","Java Virtual Machine","Apache License 2.0"
"Narwhal","","Packrat","C","mixed","POSIX, Microsoft Windows","BSD"
"Nemerle.Peg","","Recursive descent + Pratt","Nemerle","separate","all","BSD"
"neotoma","","Packrat","Erlang","separate","all","MIT"
"NPEG","","Recursive descent","C#","mixed","all","MIT"
"OMeta","","Packrat (modified)","JavaScript, Squeak, Python","mixed","all","MIT"
"PackCC","","Packrat (modified)","C","mixed","all","MIT"
"Packrat","","Packrat","Scheme","mixed","all","MIT"
"Pappy","","Packrat","Haskell","mixed","all","Proprietary"
"parboiled","","Recursive descent","Java, Scala","mixed","Java Virtual Machine","Apache License 2.0"
"Lambda PEG","","Recursive descent","Java","mixed","Java Virtual Machine","Apache License 2.0"
"parsepp","","?","C++","mixed","all","Public domain"
"Parsnip","","Packrat","C++","mixed","Microsoft Windows","GNU GPL"
"peg","","Recursive descent","C","mixed","all","MIT"
"PEG.js","","Recursive descent","JavaScript","mixed","all","MIT"
"peg-parser","","PEG parser interpreter","Dylan","separate","all",""
"Pegasus","","Recursive descent / Packrat (selectively)","C#","mixed","Microsoft Windows","MIT"
"pegc","","?","C","mixed","all","Public domain"
"PetitParser","","Packrat","Smalltalk, Java, Dart","mixed","all","MIT"
"PEGTL","","Recursive descent","C++11","mixed","all","MIT"
"PGE","Parser Grammar Engine","Hybrid recursive descent / operator precedence","Parrot bytecode","mixed","Parrot virtual machine","Artistic 2.0"
"PyPy rlib","","Packrat","Python","mixed","all","MIT"
"pyPEG","","PEG parser interpreter, Packrat","Python","mixed","all","GNU GPL"
"Rats!","","Packrat","Java","mixed","Java Virtual Machine","GNU LGPL"
"Spirit2","","Recursive descent","C++","mixed","all","Boost"
"Treetop","","Recursive descent","Ruby","mixed","all","MIT"
"Yard","","Recursive descent","C++","mixed","all","MIT or Public domain"
"Waxeye","","Packrat","C, Java, JavaScript, Python, Ruby, Scheme","separate","all","MIT"
"PHP PEG","","? (PEG Parser?)","PHP","mixed","all","BSD"
