"ADC hub","Windows","Linux","OS X","Other"
"ADCH++","Yes","Yes","No","No"
"ADCH++ GUI","Yes","Yes","No","Any Python enabled platform"
"DSHub","Yes","Yes","Yes","Any Java enabled platform"
"FlexHub","Yes","Yes","No","No"
"Luadch","Yes","Yes","Yes","Raspberry Pi, Synology NAS, any GCC enabled platform"
"Nexthub","Yes","?","No","Any C# enabled platform"
"uhub","Yes","Yes","Yes","BSD, Haiku, OpenWrt, Solaris"
"Erlhub","Yes","Yes","Yes","Any Erlang enabled platform"
"Qhub","?","?","?","?"
"Starlet ADC Hub","No","No","No","OpenVMS"
"Starhub","Yes","Yes","Yes","Any Java enabled platform"
"RusHub","Yes","Yes","Yes","FreeBSD, Solaris"
"ADC hub","Windows","Linux","OS X","Other"
