"Implementation","RSA","RSA-EXPORT (insecure)","DHE-RSA (forward secrecy)","DHE-DSS (forward secrecy)","ECDH-ECDSA","ECDHE-ECDSA (forward secrecy)","ECDH-RSA","ECDHE-RSA (forward secrecy)","GOST R 34.10-94 / 34.10-2001"
"Botan","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes"
"cryptlib","Yes","No","Yes","Yes","No","Yes","No","No","No"
"GnuTLS","Yes","No","Yes","No","No","Yes","No","Yes","No"
"JSSE","Yes","Disabled by default","Max 2048 bit","Max 2048 bit","Yes","Yes","Yes","Yes","No"
"LibreSSL","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"MatrixSSL","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No"
"mbed TLS","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No"
"NSS","Yes","Disabled by default","Client side only","No","Yes","Yes","Yes","Yes","No"
"OpenSSL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"RSA BSAFE","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No"
"SChannel XP/2003","Yes","Yes","No","Max 1024 bit","No","No","No","No","No"
"SChannel Vista/2008, 2008R2, 2012","Yes","disabled by default","No","Max 1024 bit","No","Yes","No","except AES_GCM","No"
"SChannel 7, 8, 8.1/2012R2","Yes","disabled by default","AES_GCM only
1024bits only","Max 1024 bit","No","Yes","No","except AES_GCM","No"
"SChannel 10 Technical Preview","Yes","disabled by default","AES_GCM only
1024bits only","Max 1024 bit","No","Yes","No","Yes","No"
"Secure Transport","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No"
"SharkSSL","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No"
"wolfSSL","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No"
"Implementation","RSA","RSA EXPORT (insecure)","DHE-RSA (forward secrecy)","DHE-DSS (forward secrecy)","ECDH-ECDSA","ECDHE-ECDSA (forward secrecy)","ECDH-RSA","ECDHE-RSA (forward secrecy)","GOST R 34.10-94 / 34.10-2001"
