"Audio player","AVI","ASF","QuickTime","Ogg","OGM","Matroska","MP4","MPEG-21","NUT","FLV"
"AIMP","No","Yes","No","Yes","No","No","Partial","No","No","No"
"Amarok","Yes","Yes","Yes","Yes","Basic","Basic","Yes","?","?","Yes"
"Audacious","No","Yes","No","Yes","No","No","Yes","No","No","Audio only"
"Audion","No","No","No","No","No","No","No","?","?","?"
"cmus","No","No","No","Vorbis only","No","Basic","Yes","?","?","?"
"Cog","No","No","No","Yes","No","No","Partial","?","?","?"
"foobar2000","Partial","Yes","No","Yes","No","Yes","Yes","?","?","Audio only"
"JuK","No","No","No","Vorbis only","No","No","No","?","?","?"
"Media Jukebox","Yes","Yes","?","Yes","?","?","?","?","?","?"
"MediaMonkey","No","No","No","Vorbis only","No","No","No","?","?","?"
"MPXPLAY","Yes","Yes","No","Yes","?","?","Yes","?","?","?"
"MusicBee","No","No","No","Vorbis only","No","No","AAC only","No","No","No"
"Musicmatch Jukebox","No","No","No","No","No","No","No","?","?","?"
"musikCube","No","No","No","Vorbis only","No","No","No","?","?","?"
"Rhapsody","No","No","No","No","No","No","No","?","?","?"
"Rhythmbox","No","Yes","No","Vorbis only","No","No","Yes","?","?","?"
"Sonique","No","No","No","Yes","No","No","No","?","?","?"
"XMMS","No","No","No","Vorbis only","No","No","No","?","?","?"
"Zinf","No","No","No","Vorbis only","No","No","No","?","?","?"
"Audio player","AVI","ASF","QuickTime","Ogg","OGM","Matroska","MP4","MPEG-21","NUT","FLV"
