"","English","Esperanto","Novial"
"Infinitive","(to) love","am-i","ama"
"Simple present","love(s)","am-as","ama"
"Future","will (shall) love","am-os","sal ama"
"Simple past","loved","am-is","did ama (ama-d)"
"Past perfect","have (has) loved","est-as am-int-a(j)","ha ama"
"Pluperfect","had loved","est-is am-int-a(j)","ha-d ama"
"Future perfect","will (shall) have loved","est-os am-int-a(j)","sal ha ama"
"Future in the past","was going to (would, should) love","est-is am-ont-a(j)","sal-ed ama"
"Conditional","would (should) love","am-us","vud ama"
"Conditional perfect","would (should) have loved","est-us am-int-a(j)","vud ha ama"
"First imperative","let us love!","ni am-u!","let nus ama!"
"Second imperative","love!","am-u!","ama!"
"Third imperative","let him love!","li am-u!","let lo ama!"
"Present continuous","is (am, are) loving","est-as am-ant-a(j)","es ama-nt"
"Future continuous","shall (will) be loving","est-os am-ant-a(j)","sal es ama-nt"
"Past continuous","was (were) loving","est-is am-ant-a(j)","did es (es-ed) ama-nt"
