"Model","Launch","Code name","Fab (nm)","Bus interface","Core clock (MHz)","Core config","Fillrate","Fillrate","Fillrate","Fillrate","Memory (MB)","Memory clock (MHz)","Memory","Memory","Memory","API compliance (version)","API compliance (version)","API compliance (version)","Processing Power
GFLOPs","Notes"
"Model","Launch","Code name","Fab (nm)","Bus interface","Core clock (MHz)","Core config","MOperations/s","MPixels/s","MTextels/s","Vertices/s","Memory (MB)","Memory clock (MHz)","Bus width (bit)","DirectX","OpenGL","other","","","Processing Power
GFLOPs","Notes"
"Flipper (GameCube)","September 14, 2001","","180","Integrated","162","4:1:4:4","648","648","648","60.75","24 shared
16 shared
3 eDRAM","324
81
162","2.7
0.08
10.4/7.6","1T-SRAM
SDRAM
eDRAM","64
8","No","Unknown","Unknown","8","Fixed-function T&L, TEV ""pixel shader"""
"Xenos (Xbox 360)","November 22, 2005","Xenon
Zephyr
Opus
Falcon
Jasper
Vejle
Corona","90/90
90/90
90/80
80/80
65/80
45/65
45/45","Integrated","500","48:16:8","240,000","4000","8000","6000","512 (shared)
10 eDRAM","700
500","22.4
32 (GPU to daughter die)
256 (Daughter die ROP to eDRAM)","GDDR3
eDRAM","128","9.0c+","No","Unknown","240","Surface tessellation"
"Hollywood (Wii)","November 19, 2006","","90","Integrated","243","4:1:4:4","972","972","972","91.125","24 shared
64 shared
3 eDRAM","486
Unknown
243","4
4
15.6/11.4","1T-SRAM
GDDR3
eDRAM","64
Unknown
Unknown","No","Unknown","Unknown","11","Fixed-function T&L, TEV ""pixel shader"""
"Latte (Wii U)","November 18, 2012","","45","Integrated","550","320:16:8","352,000","4400","8800","Unknown","2048 (shared)
32 eDRAM","800 (1600 effective)
550","12.8
70.4","DDR3
eDRAM","64
1024","No","Unknown","Unknown","352",""
"Liverpool (PlayStation 4)","November 15, 2013","Liverpool","28","Integrated","800","1152:72:32","1,843,200","25,600","57,600","Unknown","8192 (shared)","1375 (5500 effective)","176","GDDR5","256","No","4.2","GNM, GNMX, PlayStation Shader Language, Mantle technically possible","1843.2",""
"Durango (Xbox One)","November 22, 2013","Durango","28","Integrated","853","768:48:16","1,310,208","13,648","40,944","Unknown","8192 (shared)
32 eSRAM","1066 (2133 effective)
1706 (3412 effective)","68.2
204","DDR3
eSRAM","256","11.2","No","Mantle technically possible","1310.2","Tiled resources"
"Model","Launch","Code name","Fab (nm)","Bus interface","Core clock (MHz)","Core config","MOperations/s","MPixels/s","MTextels/s","Vertices/s","Memory (MB)","Memory clock (MHz)","Bandwidth (GB/s)","RAM type","Bus width (bit)","DirectX","OpenGL","Other","Processing Power
GFLOPs","Notes"
"Model","Launch","Code name","Fab (nm)","Bus interface","Core clock (MHz)","Core config","Fillrate","Fillrate","Fillrate","Fillrate","Memory (MB)","Memory clock (MHz)","Memory","Memory","Memory","API compliance (version)","API compliance (version)","API compliance (version)","Processing Power
GFLOPs","Notes"
