"Advanced Controls","Advanced Controls","Advanced Controls","Advanced Controls","Advanced Controls","Advanced Controls","Advanced Controls","Advanced Controls","Advanced Controls","Advanced Controls"
"Feature","iOS","Android","Firefox OS","Windows Phone","BlackBerry 10","Mer","Tizen","Sailfish OS","Ubuntu Touch"
"Per-application Internet access","No, 3rd party software on jailbroken devices","No, 3rd party software","No","No","Yes","No","No","?","?"
"Per-application identity access","No","No, 3rd party software like PDroid or XPrivacy","No","No","Yes","No","No","?","?"
"Per-application user data access","6+","No, App ops removed on 4.4.2, but 3rd party software available like PDroid, XPrivacy or CyanogenMod Privacy Guard","Yes","No","Yes","No","No","?","?"
"Per-application background execution","No","No, 3rd party apps available","Yes","Yes","10.2.1+","No","No","No","Background execution not allowed"
"Per-application notifications","5+","4.1+","Yes","8.1+","10+","No","No","?","Yes"
"Per-application location access","4+","No, 3rd party software like PDroid or XPrivacy","Yes","No","Yes","No","No","?","User prompted on request"
"Per-application camera access","8+","No, 3rd party software like PDroid or XPrivacy","Yes","No","Yes","No","No","?","In Progress"
"Per-application microphone access","7+","No, 3rd party software like PDroid or XPrivacy","Yes","No","Yes","No","No","?","In Progress"
"Per-application shared files access","No","No","Yes","No","Yes","No","No","?","Yes"
"Per-application network data usage auditing","Yes","4+","Yes","8 GDR2+ Data Sense or Nokia Counters in 7.5+","Yes","?","?","No","?"
"Fine grained storage usage","5+","Yes","Yes","8 GDR3+","10.2.1+","?","?","?","?"
"Parental controls","Yes","4.3+ or 3rd party software","No","8+","7.1+","?","?","?","No"
"Screen orientation lock","Yes","Yes","Yes","8 GDR3+","10+","?","?","1.0.4.1+","?"
"File manager","3rd party software","3rd party software","3rd party software","8.1+","10+","3rd party software","3rd party software","3rd party software","Yes"
"File manager write access to external storage","No","No, removed on Android 4.4 available on 3rd party software like CyanogenMod","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Multi-user","No","4.2+, including phones 5+","No","No","No","No","No","No","Tablet-only"
"Guest mode","6+","5+","No","8+","No","No","No","No","Tablet-only"
"Do not disturb mode","6+","5+","No","8.1+","Yes","No","No","No","No"
"Application groups","4+","Yes","No","8.1 Update+","Yes","Yes","?","1.0.7.16+","?"
"Accessibility features","Yes","Yes","No","Yes","Yes","?","?","?","?"
