"Format","Languages","If not found"
"InStrRev(«startpos,» string,substring)","VB","returns 0"
"instrrev(«startpos,» string,substring)","FreeBASIC","returns 0"
"rindex(string,substring«,startpos»)","Perl","returns -1"
"strrpos(string,substring«,startpos»)","PHP","returns FALSE"
"string.rfind(substring«,startpos»)","C++ (STL)","returns std::string::npos"
"std.string.rfind(string, substring)","D","returns -1"
"string.rfind(substring«,startpos«, endpos»»)","Python","returns -1"
"rpos(string, substring«,startpos»)","Seed7","returns 0"
"string.rindex(substring«,startpos»)","Ruby","returns nil"
"strings.LastIndex(string, substring)","Go","returns -1"
"string.lastIndexOf(substring«,startpos»)","Java, JavaScript","returns -1"
"string.LastIndexOf(substring«,startpos«, charcount»»)","VB .NET, C#, Windows PowerShell, F#","returns -1"
"(search substring string :from-end t)","Common Lisp","returns NIL"
"[string rangeOfString:substring options:NSBackwardsSearch].location","Objective-C (NSString * only)","returns NSNotFound"
"Str.search_backward (Str.regexp_string substring) string (Str.length string - 1)","OCaml","raises Not_found"
"string.match(string, '.*()'..substring) 
 string:match('.*()'..substring)","Lua","returns nil"
"Ada.Strings.Unbounded.Index(Source => string, Pattern => substring, 
 Going => Ada.Strings.Backward)","Ada","returns 0"
"string.lastIndexOf(substring«,startpos«, charcount»»)","Cobra","returns -1"
