"Implementation","Platform requirements","Network requirements","Thread safety","Random seed","Able to cross-compile","No OS (bare metal)","Supported operating systems"
"Botan","C++11","None","Thread-safe","Platform-dependent","Yes","","Most Windows and POSIX systems"
"cryptlib","C89","POSIX send() and recv(). API to supply your own replacement","Thread-safe","Platform-dependent, including hardware sources","Yes","Yes","AMX, BeOS, ChorusOS, DOS, eCOS, FreeRTOS/OpenRTOS, uItron, MVS, OS/2, Palm OS, QNX Neutrino, RTEMS, Tandem NonStop, ThreadX, uC/OS II, Unix (AIX, FreeBSD, HPUX, Linux, OS X, Solaris, etc.), VDK, VM/CMS, VxWorks, Win16, Win32, Win64, WinCE/PocketPC/etc, XMK"
"GnuTLS","C89","POSIX send() and recv(). API to supply your own replacement.","Thread-safe, needs custom mutex hooks if neither POSIX nor Windows threads are available.","Platform dependent","Yes","No","Generally any POSIX platforms or Windows, commonly tested platforms include GNU/Linux, Win32/64, Mac OS X, Solaris, OpenWRT, FreeBSD, NetBSD, OpenBSD."
"JSSE","Java","Java SE network components","Thread-safe","Depends on java.security.SecureRandom","Yes","","Java based, platform-independent"
"MatrixSSL","C89","None","Thread-safe","Platform dependent","Yes","Yes","All"
"mbed TLS","C89","POSIX read() and write(). API to supply your own replacement.","Threading layer available (POSIX or own hooks)","Random seed set through entropy pool","Yes","Yes","Known to work on: Win32/64, Linux, Mac OS X, Solaris, FreeBSD, NetBSD, OpenBSD, OpenWRT, iPhone (iOS), Xbox, Android, SeggerOS"
"NSS","C89, NSPR","NSPR PR_Send() and PR_Recv(). API to supply your own replacement.","Thread-safe","Platform dependent","Yes (but cumbersome)","No","AIX, Android, FreeBSD, NetBSD, OpenBSD, BeOS, HP-UX, IRIX, Linux, Mac OS X, OS/2, Solaris, OpenVMS, Amiga DE, Windows, WinCE, Sony PlayStation"
"OpenSSL","C89?","?","Needs mutex callbacks","Set through native API","Yes","No","Unix, DOS (with djgpp), Windows, OpenVMS, MacOS, NetWare"
"SharkSSL","C89","None: Transport agnostic API","Thread-safe: multiple ports","Random seed set through entropy pool and/or HW","Yes","Yes","INTEGRITY, MQX, SMX, ThreadX, VxWorks, SeggerOS, OSE, Android, Win 32/64, Linux 32/64, uCLinux, Mac OS X, OpenBSD, DD-WRT, OpenWrt"
"wolfSSL","C89","POSIX send() and recv(). API to supply your own replacement.","Thread-safe, needs mutex hooks if PThreads or WinThreads not available, can be turned off","Random seed set through CTaoCrypt","Yes","Yes","Win32/64, Linux, Mac OS X, Solaris, ThreadX, VxWorks, FreeBSD, NetBSD, OpenBSD, embedded Linux, Haiku, OpenWRT, iPhone (iOS), Android, Nintendo Wii and Gamecube through DevKitPro, QNX, MontaVista, OpenCL, NonStop, TRON/ITRON/µITRON, Micrium's µC OS, FreeRTOS, SafeRTOS, Freescale MQX, Nucleus, TinyOS, HP/UX, Keil RTX, TI-RTOS"
"","","","","","","",""
