"Editor","WYSIWYG","FTP Upload","WebDAV Upload","Server-side scripting","Shared editing","Spell checking","Templates","Templates Update Sync","Page Preview","Form Handler"
"Amaya","Yes","No","Yes","No","No","Yes","Partial","No","Yes","?"
"Aptana","No","Yes","?","Yes (via plugins)","Yes","No","Some (i.e. Snippets)","?","Yes","?"
"Arachnophilia","No","?","?","?","?","Yes","Yes","?","Yes","?"
"Bluefish","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","?"
"BlueGriffon","Yes","No
(add-on)","No","?","No","Yes","Yes
(via commercial proprietary add-on)","No","Yes","?"
"Brackets","""Live Preview"" in-browser","Yes (via extension)","No","Yes","No","Yes (via extension)","Yes (via extension)","No","Yes","?"
"Claris Homepage","Yes","Yes","No","No","No","Yes","Yes","No","Yes","?"
"CoffeeCup HTML Editor","No","Yes","?","No","No","Yes","Yes","?","Yes","?"
"Dreamweaver","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"EZGenerator","Yes","Yes","?","?","?","Yes","Yes","?","Yes","?"
"Freeway","Yes","Yes","No","Yes","No","Yes","Yes","?","Yes","?"
"GoLive","Yes","Yes","Yes","Yes","No","Yes","Yes","?","Yes","?"
"HTML-Kit","No","Yes","?","Yes","No","Yes","Yes","?","Yes","?"
"KompoZer","Yes","Yes","No","No","No","Yes","Yes","No","Yes","?"
"Maqetta","Yes","?","?","?","?","?","?","?","Yes","?"
"Microsoft Expression Web","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Microsoft FrontPage","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","?"
"Microsoft SharePoint Designer","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","?"
"Microsoft Visual Web Developer","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","?"
"Web Architect","No","Yes","?","Yes","No","Yes","Yes","?","Yes","?"
"Nvu","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","?"
"OpenBEXI","Yes","Yes","?","Yes","No","Yes","Yes","Yes","Yes","?"
"openElement","Yes","Yes","No","Yes","No","Yes","Yes","?","Yes","Yes"
"OpenOffice.org","Yes","?","?","?","?","Yes","?","?","Yes","?"
"Quanta Plus","Yes","Yes","No (cvs instead)","Yes","Yes","Yes","Yes","Yes","Yes","?"
"RapidWeaver","Yes","Yes","No","Yes","No","Yes","Yes","?","Yes","?"
"SeaMonkey Composer","Yes","Yes","Yes","No","No","Yes","No","No","Yes","?"
"TOWeb","Yes","Yes","No","Yes","No","Yes","Yes","?","Yes","Yes"
"Editor","WYSIWYG","FTP Upload","WebDAV Upload","Server-side scripting","Shared editing","Spell checking","Templates","Templates Update Sync","Page Preview","Form Handler"
