"Name","Keyboard mapping","Session tabs","ZMODEM transfers","Find text in buffer","Mouse input support","Unicode support","URL hyperlinking","Public key authentication","Smart card support","Hardware encryption","FIPS 140-2 validation","Scripting","Shared Database"
"AbsoluteTelnet","full","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","?"
"MindTerm","No","Yes","No","No","No","Yes","No","Yes","Yes","Yes","No","No","No"
"MobaXterm","No","Yes","no, but built-in graphical SFTP client","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","?"
"OpenSSH","?","No","No","?","Yes","Yes","not native","Yes","Yes","Yes","Partial","No","No"
"PACManager","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","?"
"Private Shell","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","?"
"ProxyCap","No","No","No","No","No","Yes","No","Yes","No","No","No","No","?"
"PuTTY","No","No","No","No","Yes","Yes","No","Yes","No","No","No","No","No"
"Salt","Yes","No","No","Yes","No","Yes","No","Yes","Yes","No","No","No","?"
"SecureCRT","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No"
"SmartFTP","Partial","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","AES-NI","Yes","No","?"
"Tera Term","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No"
"TN3270 Plus","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No","Yes","?"
"Token2Shell","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","AES-NI","No","Yes","?"
"TtyEmulator","No","No","No","Yes","Yes","No","Yes","Yes","No","No","No","Yes","?"
"Penguinet","Yes","Yes","No","No","No","?","No","Yes","No","No","No","No","?"
"ZOC","full","Yes","Yes","Alt+F","Yes","UTF-8","Yes","Yes","No","No","No","Yes","?"
