"","Union","Intersect","Except","Inner join","Outer join","Inner selects","Merge joins","Blobs and Clobs","Common Table Expressions","Windowing Functions","Parallel Query"
"4th Dimension","Yes","Yes","Yes","Yes","Yes","No","No","Yes","?","?","?"
"ADABAS","Yes","?","?","?","?","?","?","?","?","?","?"
"Adaptive Server Enterprise","Yes","?","?","Yes","Yes","Yes","Yes","Yes","?","?","Yes"
"Advantage Database Server","Yes","No","No","Yes","Yes","Yes","Yes","Yes","?","No","?"
"Altibase","Yes","Yes","Yes, via MINUS","Yes","Yes","Yes","Yes","Yes","No","No","No"
"Apache Derby","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","No","No","?"
"ClustrixDB","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"CUBRID","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","?"
"Drizzle","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","No"
"DB2","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Empress Embedded Database","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?"
"EXASolution","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Firebird","Yes","?","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"HSQLDB","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"H2","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","experimental","No","?"
"Informix Dynamic Server","Yes","Yes","Yes, via MINUS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Ingres","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No","?"
"InterBase","Yes","?","?","Yes","Yes","?","?","Yes","?","?","?"
"Linter SQL RDBMS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"LucidDB","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","?","?","?"
"MaxDB","Yes","?","?","Yes","Yes","Yes","No","Yes","?","?","?"
"Microsoft Access (JET)","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","?"
"Microsoft Visual Foxpro","Yes","?","?","Yes","Yes","Yes","?","Yes","?","?","?"
"Microsoft SQL Server","Yes","Yes (2005 and beyond)","Yes (2005 and beyond)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Microsoft SQL Server Compact (Embedded Database)","Yes","No","No","Yes","Yes","?","No","Yes","No","No","?"
"MonetDB","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"MySQL","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","No"
"OpenBase SQL","No","No","No","Yes","Yes","Yes","Yes","Yes","?","?","?"
"OpenLink Virtuoso","Yes","?","?","Yes","Yes","Yes","?","Yes","?","?","?"
"Oracle","Yes","Yes","Yes, via MINUS","Yes","Yes","Yes","Yes","Yes","","Yes","Yes"
"Oracle Rdb","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?"
"Pervasive PSQL","Yes","No","No","Yes","Yes","?","?","Yes","No","No","No"
"Polyhedra DBMS","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No"
"PostgreSQL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"RDM Embedded","No","No","No","Yes","Yes","No","No","Yes","No","No","No"
"RDM Server","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","No"
"ScimoreDB","Yes","?","?","Yes","LEFT only","Yes","Yes","Yes","?","?","?"
"SmallSQL","?","?","?","?","?","?","?","?","?","?","?"
"solidDB","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"SQL Anywhere","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"SQLite","Yes","Yes","Yes","Yes","LEFT only","Yes","No","Yes","3.8.3+","No","No"
"Teradata","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"UniVerse","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","?"
"","Union","Intersect","Except","Inner join","Outer join","Inner selects","Merge joins","Blobs and Clobs","Common Table Expressions","Windowing Functions","Parallel Query"
