"Name","Website","Lexer algorithm","Output languages","Grammar, code","Development platform","License"
"Alex","","DFA","Haskell","mixed","all","BSD"
"AustenX","","DFA","Java","separate","all","BSD"
"C# Flex","","DFA","C#","mixed",".NET CLR","GNU GPL"
"C# Lex","","DFA","C#","mixed",".NET CLR","?"
"CookCC","","DFA","Java","mixed","Java Virtual Machine","BSD"
"Dolphin","","DFA","C++","separate","all","Proprietary"
"flex","","DFA table driven","C, C++","mixed","all","BSD"
"gelex","","DFA","Eiffel","mixed","Eiffel","MIT"
"golex","","DFA","Go","mixed","Go","BSD-style"
"gplex","","DFA","C#","mixed",".NET CLR","BSD-like"
"JFlex","","DFA","Java","mixed","Java Virtual Machine","GNU GPL"
"JLex","","DFA","Java","mixed","Java Virtual Machine","BSD-like"
"lex","","DFA","C","mixed","POSIX","Proprietary, CDDL"
"lexertl","","DFA","C++","","all","GNU LGPL"
"Quex","","DFA direct code","C, C++","mixed","all","GNU LGPL"
"Ragel","","DFA","C, C++, D, Go, Java, Objective-C, Ruby","mixed","all","GNU GPL"
"re2c","","DFA direct code","C","mixed","all","Public domain"
"Russ Cox's regular expression implementations","","DFA, NFA","Bytecode, x86 assembly language, interpreted","separate","all","MIT"
