"Name","SSH1","SSH2","Port forwarding","SFTP","SCP","Supports IPv6","Supports OpenSSH authorized keys","Privilege separation","FIPS 140-2 certified"
"Apache MINA SSHD","No","Yes","Yes","Yes","Yes","Yes","Yes","No","?"
"Attachmate Reflection for Secure IT","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Bitvise SSH Server","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Copssh","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"CrushFTP Server","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Dropbear","No","Yes","Yes","No","Yes","Yes","Yes","No","?"
"KpyM SSH Server","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","?"
"GoAnywhere Services","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Lsh","No","Yes","Yes","Yes","Yes","?","?","?","?"
"Maverick SSHD","No","Yes","Yes","Yes","Yes","Yes","Yes","No","?"
"MobaSSH SSH Server","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"OpenSSH","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Pragma Fortress SSH Server","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Tectia SSH Server","No","Yes","Yes","Yes","Yes","Yes","Yes","Partial","Partial"
"SilverSHielD","No","Yes","Yes","Yes","No","No","Yes","No","?"
"Georgia SoftWorks SSH Server","No","Yes","Yes","No","No","Yes","No","Yes","?"
"Syncplify.me Server","No","Yes","Yes","Yes","No","Yes","Yes","Yes","?"
"TinySSH","No","Yes","No","No","No","Yes","Partial","Partial","?"
