"","Desktop","Desktop","Desktop","Desktop","Desktop","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Other","Other",""
"Client","Windows","OS X","Unix-like","Haiku","Amiga","Windows Phone","Android","BlackBerry OS","iOS","Symbian","MeeGo","Java ME","WebOS","Web","VGCs",""
"Adium","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No",""
"BBM","No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No",""
"AIM","Yes","Yes","Dropped","No","No","No","Yes","Yes","Yes","No","No","No","Yes","No","No",""
"aMSN","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No",""
"Ayttm","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No",""
"BitlBee","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No",""
"Bombus","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No",""
"Centericq","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No",""
"climm","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No",""
"Coccinella","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No",""
"eBuddy","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No",""
"emesene","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No",""
"Empathy","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No",""
"FaceTime","No","Included","No","No","No","No","No","No","Included","No","No","No","No","No","No",""
"Fire","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No",""
"Gadu-Gadu","Yes","No","No","No","No","No","No","No","Yes","Yes","No","Yes","No","Yes","No",""
"Gajim","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No",""
"Google Hangouts","Partial","Partial","Partial","No","No","No","Yes","No","Yes","No","No","No","No","Yes","No",""
"Hookt","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No",""
"Hike","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No",""
"IBM Lotus Sametime","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No",""
"ICQ","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No",""
"IMVU","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No",""
"Instantbird","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No",""
"InTouch Messenger","No","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No",""
"Jitsi","Yes","Yes","Yes","No","No","No","Unstable","Unstable","No","No","No","No","No","No","No",""
"KakaoTalk","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No",""
"Kadu","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No",""
"Kopete","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No",""
"Line","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No",""
"Messages","No","Included","No","No","No","No","No","No","Included","No","No","No","No","No","No",""
"MCabber","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No",""
"Microsoft Lync","Yes","Yes","No","No","No","Yes","Yes","No","Yes","Yes","No","No","No","No","No",""
"Miranda IM","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No",""
"MySpaceIM","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No",""
"naim","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No",""
"Nimbuzz","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No",""
"Palringo","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No",""
"Paltalk","Yes","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","Yes","No",""
"Pidgin","Yes","Yes","Yes","No","Yes","No","No","No","No","No","Yes","No","No","No","No",""
"Psi","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No",""
"QIP","Yes","No","No","No","No","Yes","No","No","Yes","Yes","No","No","No","No","No",""
"Qnext","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","Yes","No",""
"QuteCom","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No",""
"Signal","No","No","No","No","No","No","Yes","No","Yes","No","No","No","No","Coming soon","No",""
"Surespot","No","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No",""
"Skype","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","PSP PSV XB1",""
"Telegram","Yes","Yes","Yes","No","No","Yes","Yes","Coming soon","Yes","No","No","No","No","Yes","No",""
"Tencent QQ","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",""
"TextSecure","No","No","No","No","No","No","Yes","No","Yes","No","No","No","No","Coming soon","No",""
"Threema","No","No","No","No","No","Yes","Yes","No","Yes","No","No","No","No","No","No",""
"Tkabber","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No",""
"Tox","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","No","No","No","No",""
"Trillian","Yes","Yes","Partial","No","No","No","Yes","Yes","Yes","No","No","No","No","Yes","No",""
"Viber","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No",""
"WeChat","No","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No",""
"WhatsApp","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No",""
"Wickr","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","No","No","No","No","No",""
"Windows Live Messenger","Yes","Yes","No","No","No","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Xbox",""
"Xfire","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No",""
"Yahoo! Messenger","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No","Yes","No",""
"Yuilop","No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No",""
"Zephyr","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No",""
"Client","Windows","OS X","Unix-like","Haiku","Amiga","Windows Phone","Android","BlackBerry OS","iOS","Symbian","MeeGo","Java ME","WebOS","Web","VGCs",""
"","Desktop","Desktop","Desktop","Desktop","Desktop","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Other","Other","Other"
