"Name","View functions","Other functions","License"
"ACDSee","Thumbnails (user-defined sizes), fullscreen, slideshow, zoom, fit, view Exif info, view inside ZIP archives, ...","Resize, crop, rotate, flip, JPEG lossless rotate/mirror, adjust exposure and colors etc., filters (sharpen, blur, average, emboss, ...), red eye removal, batch rename, edit Exif info, ...","Proprietary"
"Adobe Bridge","Thumbnails, slideshow, filmstrip, preview, versions with alternates","Stand Alone: rotate, rename, delete, move, copy, batch rename, add/Edit Metadata, camera raw image adjustments (crop, resize, exposure, contrast, white balance, curves, etc...)
Via Photoshop: contact sheet, merge to HDR, PDF presentation, Photomerge, Web picture gallery","Proprietary"
"Adobe Photoshop Lightroom","library organization, RAW and JPEG editing, slideshow tools, print layout and preferences, web gallery creation and uploading","","Proprietary"
"Aperture","","","Proprietary"
"CDisplay","Fit to window, zoom, print, full-screen, slideshow, image collection, image information...","Rotate, flip, save as, used for reading comics and manga.","Proprietary"
"Comix","Fit to window, zoom, rotate, full-screen, image collection, image information...","manga mode, double page view","GNU GPL"
"digiKam","Fit to window, zoom, pan, Light Table, Slideshow+Effects, OpenGL viewer","Rotate, crop, vertical/horizontal flip, lossless JPEG operations (90° steps), color management, 16bit color depth, Light Table, Exif, IPTC, XMP, GPS metadata, adjust colors/brightness/levels, elaborate Black and White conversion, automatic lens correction, anti-vignetting, sharpening tools, vibrance, many filters, Batch operations, export to archive, HTML, flickr, gallery2, picasaweb, smugmug, iPod, Facebook, 23hq, flash.","GNU GPL"
"Eye of GNOME","Fit to window, zoom, print, full-screen, slideshow, image collection, image information...","Rotate, delete, flip, save as","GNU GPL"
"FastPictureViewer","Borderless full-screen kiosk mode, Fit-to-window, 1:1, 50% to 6400% magnifier, multicore-enabled, GPU-based panning/zooming, black & white preview and lost shadows/highlights view.","No image editing. File renaming. Single-click background copy/move to preset location, single-click rating/labeling (writes Adobe XMP sidecar files and/or embeds XMP metadata within JPEG/TIFF/HD Photo/JPEG XR), Windows rating, Color management including custom target profile selection, Unicode support, Exif shooting data (shutter speed, f-stop, ISO speed, exposure compensation...) and real-time, seamless R,G,B histogram in translucent floating window. IPTC metadata editor in the registered version.","Proprietary"
"FastStone Image Viewer","All major formats, thumbnail view (5 predefined sizes), full screen, magnifier, slideshow.","Many editing features: rotate, move, rename, 150+ transitional effects, crop, resize, clone, heal, convert format, color adjust, sharpen, drop shadow effects, scanner support, histogram, ...","Proprietary"
"Firehand Ember","","","Proprietary"
"F-Spot","Full-screen, slideshow, zoom, multiple sizes of thumbnails. Export: HTML,  Flickr, Gallery Project, Picasa, Facebook (via extension) and O.r.i.g.i.n.a.l","Tags, rotate in single degree increments, hue, contrast, white balance, colour, sharpen, soft focus, crop, auto red-eye reduction. Files stored at /user/Pictures/Photos/[year]/[month]/[day]","GNU GPL"
