"Model","Launch","Code name","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Config core","Fillrate","Fillrate","Fillrate","Fillrate","Memory","Memory","Memory"
"Model","Launch","Code name","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Config core","MOperations/s","MPixels/s","MTexels/s","MVertices/s","Bandwidth (GB/s)","Bus type","Bus width (bit)"
"Radeon 8500","Aug 14, 2001","R200 (chaplin)","AGP 4x","64, 128","275","550","4:2:8:4","1100","1100","2200","137.5","8.8","DDR","128"
"Radeon 8500 LE","Feb 4, 2002","R200 (chaplin)","AGP 4x","64, 128","250","500","4:2:8:4","1000","1000","2000","125","8","DDR","128"
"Radeon 9000","Aug 1, 2002","RV250 (iris)","AGP 4x","64, 128","200","500","4:1:4:4","800","800","800","50","8","DDR","128"
"Radeon 9000 Pro","Aug 1, 2002","RV250 (iris)","AGP 4x","64, 128","275","550","4:1:4:4","1100","1100","1100","68.75","8.8","DDR","128"
"Radeon 9100","2003","R200 (chaplin)","AGP 8x, PCI","64, 128","250","500","4:2:8:4","1000","1000","2000","125","8.0","DDR","128"
"Radeon 9200","Apr 1, 2003","RV280 (argus)","AGP 8x, PCI","64, 128, 256","250","400","4:1:4:4","1000","1000","1000","62.5","6.4","DDR","128"
"Radeon 9200 SE","July 2003","RV280 (argus)","AGP 8x, PCI","64, 128, 256","200","333","4:1:4:4","800","800","800","50","2.67","DDR","64"
"Radeon 9250","July 2004","RV280 (argus)","AGP 8x, PCI","64, 128, 256","240","400","4:1:4:4","960","960","960","60","6.4","DDR","128"
