"Pump type","Cyclic/continuous ?","Maximum lift height","Production cost","Efficiency","Output","Size of device","Fabrication requirements","Difficulty of production","Durability","Difficulty of repair","Suction lift ?"
"Continuous bucket pump","continuous","5m-50m","low-medium","medium","low-medium","?","?","traditional","?","?","no"
"Counterpoise lift or Shadoof","cyclic","1m-4m","low-medium","low-medium","low-medium","?","?","traditional","?","?","no"
"Mohte","cyclic","3m-8m","low-medium","low","medium","?","?","traditional","?","?","no"
"Persian wheel ""Tablia""","continuous","3m-10m","low-medium","medium","medium","?","?","traditional","?","?","no"
"Persian wheel ""Zawaffa""","continuous","3m-15m","medium","medium-high","medium-high","?","?","traditional","?","?","no"
"Pivoting gutters and ""dhones""","cyclic","1m-1,5m","low-medium","low-medium","low-medium","?","?","traditional","?","?","no"
"Reciprocating bucket hoist","cyclic","100m-500m","medium-high","medium","medium-high","?","?","industrial","?","?","no"
"Rope & bucket and windlass","cyclic","5m-50m","very low","very low","very low","?","?","basic","?","?","no"
"Scoops and bailers","cyclic",">1m","very low","very low","low-medium","?","?","basic","?","?","no"
"Scoop wheel ""Sakia""","continuous",">2m","medium-high","medium-high","medium-high","?","?","traditional","?","?","no"
"Swing basket","cyclic",">1m","very low","very low","low-medium","?","?","basic","?","?","no"
"Waterwheel or noria","continuous",">5m","low-medium","low-medium","low-medium","?","?","traditional","?","?","no"
"Watering car","cyclic",">3m","very low","very low","very low","?","?","basic","?","?","no"
