"","PHP","Perl","Python","Ruby","JavaScript","ActionScript","PL/SQL","Tcl","Haskell"
"ApiGen","Yes","No","No","No","No","No","No","No","No"
"Autoduck","No","No","No","No","No","No","No","No","No"
"BI Documenter","No","No","No","No","No","No","No","No","No"
"classdoc","No","No","No","No","No","No","No","No","No"
"CppDoc","No","No","No","No","No","No","No","No","No"
"DB Manual","No","No","No","No","No","No","No","No","No"
"DBDesc","No","No","No","No","No","No","No","No","No"
"DBScribe","No","No","No","No","No","No","Yes","No","No"
"Ddoc","No","No","No","No","No","No","No","No","No"
"devscribe","No","No","No","No","No","No","No","No","No"
"Doc-O-Matic","Yes","No","No","No","Yes","No","No","No","No"
"DOC++","No","No","No","No","No","No","No","No","No"
"Document! X","No","No","No","No","No","No","Yes","No","No"
"Doxygen","Yes","No","Yes","No","No","No","No","Yes","No"
"Epydoc","No","No","Yes","No","No","No","No","No","No"
"ForgeDoc","No","No","No","No","No","No","No","No","No"
"fpdoc","No","No","No","No","No","No","No","No","No"
"GenHelp","No","No","No","No","No","No","No","No","No"
"Haddock","No","No","No","No","No","No","No","No","Yes"
"HeaderDoc","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No"
"Help Generator","No","No","No","No","No","No","No","No","No"
"HyperSQL","No","No","No","No","No","No","Yes","No","No"
"Imagix 4D","No","No","No","No","No","No","No","No","No"
"Javadoc","No","No","No","No","No","No","No","No","No"
"jGrouseDoc","No","No","No","No","Yes","No","No","No","No"
"JSDoc","No","No","No","No","Yes","No","No","No","No"
"JsDoc Toolkit","No","No","No","No","Yes","No","No","No","No"
"KDOC","No","No","No","No","No","No","No","No","No"
"Natural Docs","Partial","Yes","Partial","Partial","Partial","Yes","Partial","Partial","No"
"NDoc","No","No","No","No","No","No","No","No","No"
"perldoc","No","Yes","No","No","No","No","No","No","No"
"phpDocumentor","Yes","No","No","No","No","No","No","No","No"
"phpSimpleDoc","Yes","No","No","No","No","No","No","No","No"
"Project Analyzer","No","No","No","No","No","No","No","No","No"
"RDoc","No","No","No","Yes","No","No","No","No","No"
"ROBODoc","Yes","Yes","No","Yes","Yes","Partial","Yes","Yes","No"
"Sphinx","with Plugin","No","Yes","with Plugin","Yes","No","No","No","No"
"ThimbleDoc","Yes","No","No","No","No","No","No","No","No"
"TwinText","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Universal Report","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No"
"VBDOX","No","No","No","No","No","No","No","No","No"
"VBSdoc","No","No","No","No","No","No","No","No","No"
"VSdocman","No","No","No","No","No","No","No","No","No"
"YARD","No","No","No","Yes","No","No","No","No","No"
"","PHP","Perl","Python","Ruby","JavaScript","ActionScript","PL/SQL","Tcl","Haskell"
