"License and version","FSF approval","GPL (v3) compatibility","OSI approval","Copyfree approval","Debian approval","Fedora approval"
"Academic Free License","Yes","No","Yes","No","No","Yes"
"Apache License 1.x","Yes","No","Yes","No","Yes","Yes"
"Apache License 2.0","Yes","Yes","Yes","No","Yes","Yes"
"Apple Public Source License 1.x","No","No","Yes","No","No","No"
"Apple Public Source License 2.0","Yes","No","Yes","No","No","Yes"
"Artistic License 1.0","No","No","Yes","No","Yes","No"
"Artistic License 2.0","Yes","Yes","Yes","No","Yes","Yes"
"Beerware 42","No","No","No","Yes","No","Yes"
"Berkeley Database License","Yes","Yes","Yes","No","Yes","Yes"
"Original BSD license","Yes","No","No","No","Yes","Yes"
"Modified BSD license","Yes","Yes","Yes","Yes","Yes","Yes"
"Boost Software License","Yes","Yes","Yes","Yes","Yes","Yes"
"CeCILL","Yes","Yes","Yes","No","Yes","Yes"
"Common Development and Distribution License","Yes","No","Yes","No","Yes","Yes"
"Common Public License","Yes","No","Yes","No","Yes","Yes"
"Cryptix General License","Yes","Yes","No","Yes","Yes","Yes"
"Eclipse Public License","Yes","No","Yes","No","Yes","Yes"
"Educational Community License","Yes","Yes","Yes","No","No","Yes"
"Eiffel Forum License 2","Yes","Yes","Yes","No","Yes","Yes"
"GNU Affero General Public License","Yes","Yes","Yes","No","Yes","Yes"
"GNU General Public License v2","Yes","No","Yes","No","Yes","Yes"
"GNU General Public License v3","Yes","Yes","Yes","No","Yes","Yes"
"GNU Lesser General Public License","Yes","Yes","Yes","No","Yes","Yes"
"IBM Public License","Yes","No","Yes","No","Yes","Yes"
"Intel Open Source License","Yes","Yes","Yes","No","No","No"
"ISC license","Yes","Yes","Yes","Yes","Yes","Yes"
"LaTeX Project Public License","Yes","No","Yes","No","Yes","Yes"
"Microsoft Public License","Yes","No","Yes","Yes","No","Yes"
"Microsoft Reciprocal License","Yes","No","Yes","No","No","Yes"
"MIT license / X11 license","Yes","Yes","Yes","Yes","Yes","Yes"
"Mozilla Public License 1.1","Yes","No","Yes","No","Yes","Yes"
"Mozilla Public License 2.0","Yes","Yes","Yes","No","Yes","Yes"
"Netscape Public License","Yes","No","No","No","No","Yes"
"Open Software License","Yes","No","Yes","No","No","Yes"
"OpenSSL license","Yes","No","No","No","Yes","Yes"
"PHP License","Yes","No","Yes","No","Yes","Partial"
"Python Software Foundation License 2.0.1; 2.1.1 and newer","Yes","Yes","Yes","No","Yes","Yes"
"Q Public License","Yes","No","Yes","No","No","Yes"
"Reciprocal Public License 1.5","No","No","Yes","No","No","No"
"Sun Industry Standards Source License","Yes","No","Yes","No","No","Yes"
"Sun Public License","Yes","No","Yes","No","No","Yes"
"Sybase Open Watcom Public License","No","No","Yes","No","No","No"
"W3C Software Notice and License","Yes","Yes","Yes","No","Yes","Yes"
"Do What The Fuck You Want To Public License (WTFPL)","Yes","Yes","No","Yes","Yes","Yes"
"XFree86 1.1 License","Yes","Yes","No","No","No","No"
"zlib/libpng license","Yes","Yes","Yes","No","Yes","Yes"
"Zope Public License 1.0","Yes","No","No","No","No","Yes"
"Zope Public License 2.0","Yes","Yes","Yes","No","No","Yes"
